datetime;city;state;country;shape;durationSeconds;durationHM;comments;datePosted;latitude;longitude;sourceUrl;sighting_id
1/27/2025 02:10;caseros;Provincia de Buenos Aires;Argentina;egg;120.0;2 minutes.;"Menu Close 2025-01-27 02:10 Local 2025-01-26 21:56 Pacific 2 minutes. 1 Caseros&#44 Provincia de Buenos Aires&#44 Argentina Egg Green. Estimated Size: 500 m. Land 81 Estimated Speed: 700km. A green light in the shape of an egg that stayed for a few seconds and then shot off strongly to the south. A green light in the shape of an egg that stayed for a few seconds and then shot strongly to the south. I saw a green light in the sky that caught my attention; it was in my view for a few seconds and then moved with incredible speed to the south. Original report in Spanish: Una luz verde con forma de huevo que se mantuvo unos pocos segundos y luego se disparo fuerte para el sur Vi una luz verde en el cielo que me llamo la atención esta estuvo unos pocos segundos a mi vista y luego se movió con una velocidad increíble hacia el sur National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY";1/26/2025;;;https://nuforc.org/sighting/?id=187239;187239
1/26/2025 21:25;richfield;oh;United States;disk;300.0;5 minutes;"Menu Close 2025-01-26 21:25 Local 2025-01-26 19:21 Pacific 5 minutes 1 Richfield&#44 OH&#44 USA Disk Dim blue Estimated Size: Medium size Land Direction from Viewer: South west of me 85 Closest Distance: At least a few hundred feet above ground Estimated Speed: Very slow Lights on object&#44 Aura or haze around object&#44 Electrical or magnetic effects I used to scoff at UFO believers. Tonight I saw my first UFO. I saw dim blue flashing lights on a disk just hovering around the highway I am in complete shock and awe. I saw a blue disk hovering around route 77 just north of route 271 interchange. I was headed south from Cleveland to Akron. I was driving when I saw something strange in the sky. Blue disk&#44 flashing dim blue lights. It was just hovering there. I am in disbelief. But at the same time I know what I saw. Eventually as I slowed on the highway the blue light disappeared. Maybe it became aware it was being watched. I watched it from my vehicle for around 5 minutes. I used to think UFO people were ridiculous; now I’m a believer. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY";1/26/2025;;;https://nuforc.org/sighting/?id=187242;187242
1/26/2025 19:20;steeleville;il;United States;diamond;10.0;10 seconds;Menu Close 2025-01-26 19:20 Local 2025-01-26 17:54 Pacific 10 seconds 2 Steeleville&#44 IL&#44 USA Floated over house approximately 20 mph at around 80ft off of the ground. 30 ft above tree top. Diamond Black Estimated Size: 25 to 30 ft long Land Direction from Viewer: It floated directly above house heading NW. 90 Closest Distance: Approximately 80 ft. Estimated Speed: 20 mph Lights on object Just stepped out of garage heading to house and it floated above house heading NW. it was dead silent and had glowing lights on bottom. Black Diamond shape floating in dead silence directly 80 ft above house heading NW at approximately 20 mph. Object had no sound whatsoever and very slight glowing lights on bottom front angle of craft. Seen by myself and my mother. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/26/2025;38.0072222;-89.6583333;https://nuforc.org/sighting/?id=187245;187245
1/26/2025 05:46;beverly hills;ca;United States;orb;;Minutes;Menu Close 2025-01-26 05:46 Local 2025-01-27 09:07 Pacific Minutes 1 Beverly Hills&#44 CA&#44 USA Over Beverly Hills Orb Dark Land 45 Explanation: Balloon - Possible Orb with no lights or sound LA skyline from my sisters house in Beverly Hills. Flying over Beverly Hills. No lights&#44 no sounds. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;34.0736111;-118.3994444;https://nuforc.org/sighting/?id=187246;187246
;chattanooga;tn;United States;light;300.0;Had to work over 5 mins;Menu Close 2025-01-26 22:56 Local - Approximate 2025-01-27 14:52 Pacific Had to work over 5 mins 1 Chattanooga&#44 TN&#44 USA Light White Estimated Size: Definitely huge Land Direction from Viewer: 2 miles 27 On my way into work for 3rd shift and these lights were above (obscured by a cloud from the only cloud in the skyow) but could be seen On my way into work for 3rd shift and these lights were above (obscured by a cloud from the only cloud in the sky) but could be seen Looking north from wilson road in southern Chattanooga cloud was probably over central northern Chattanooga. These lights were clearly directional and cast light in roughly a southern direction. They were way too big (see photo that’s not lens flare that’s the size) my phone is a potato but maybe some analysis can be done to the photo. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;35.0455556;-85.3097222;https://nuforc.org/sighting/?id=187255;187255
1/26/2025 22:00;bradford;oh;United States;sphere;;All night;Menu Close 2025-01-26 22:00 Local 2025-01-27 14:54 Pacific All night 1 - Military Bradford&#44 OH&#44 USA Bradford OH 45308 over the school and in town Sphere Lights red&#44 blue whi Estimated Size: No idea Land Direction from Viewer: Northeast 45 Closest Distance: 500-800 yards Estimated Speed: Slow&#44 steady Explanation: Drone - Possible Lights on object Possible drones but do not know why there are so many or why they are out every night. I think these are drones&#44 but they are often out every night. I do not see them in the day time. They have multi colored lights like blue and red. It doesn't appear to be a helicopter because a helicopter would not hover all night long. They are pretty high up&#44 but I can see the lights when I look at them through the binoculars. I reported this to law enforcement&#44 but they did not call me back to state what they found. They go up and down&#44 and they will shift positions to the other side of the house. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;;;https://nuforc.org/sighting/?id=187256;187256
1/27/2025 17:55;new york mills;ny;United States;light;;saw it as i drove;Menu Close 2025-01-27 17:55 Local 2025-01-27 15:35 Pacific saw it as i drove 1 New York Mills&#44 NY&#44 USA It was over the buildings Light red and green Estimated Size: unknown Land Direction from Viewer: it was to the right of me up above 86 Closest Distance: not close at all Estimated Speed: unknown Explanation: Drone - Possible Lights on object it was 3 round red lights next to 3 round green lights and it was moving I was driving past and saw it in the sky&#44 it was dark so i couldn't make out the exact shape but it was definitely moving and looked like a drone&#44 but I've never seen anything like it before&#44 I also saw a very bright white light in the sky (different area) but that could be unrelated. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;43.1052778;-75.2916667;https://nuforc.org/sighting/?id=187258;187258
1/27/2025 18:14;belleville;nj;United States;orb;300.0;about 5 minutes;Menu Close 2025-01-27 18:14 Local 2025-01-27 16:28 Pacific about 5 minutes 1 Belleville&#44 NJ&#44 USA (40.7885947&#44 -74.1790957) Orb Bluish-greenish Estimated Size: I’d guess about the size of a small car Land Direction from Viewer: About 55° NE 60 Closest Distance: I couldn’t tell Estimated Speed: Slower than any airplane Changed Colo I was walking my dog when I saw this orb moving steadily in the sky at around the height of a plane or possibly lower. I spotted one bluish orb moving steadily eastward while walking my dog. It changed colors from blue to green to white. Because there were no blinking lights like on a plane it caught my attention. I started talking directly to it and as soon as I did it started to dim then disappeared. I got it on video. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;40.7936111;-74.1505556;https://nuforc.org/sighting/?id=187259;187259
1/27/2025 19:48;el dividive;Trujillo;Venezuela;oval;60.0;1 minute.;"Menu Close 2025-01-27 19:48 Local 2025-01-27 16:32 Pacific 1 minute. 11 El Dividive&#44 Trujillo&#44 Venezuela I was sitting in front of my house. Oval plated. Estimated Size: 50 meters its first circumference. Land Direction from Viewer: In front. 72 Closest Distance: 2 kilometers. Estimated Speed: At first&#44 the average of a plane&#44 then I accelerat Lights on object&#44 Aura or haze around object&#44 Left a trail&#44 Emitted other objects&#44 Changed Color&#44 Possible abduction There was no electricity&#44 the starry night&#44 suddenly I saw an oval shape that left a flash&#44 I called the neighbors&#44 everyone saw it. I am in Venezuela&#44 there was no electricity&#44 the sky was clear&#44 I was sitting in front of my house with my mother&#44 suddenly I saw a large shape&#44 it looked like an oval or diamond&#44 very bright&#44 at a speed slightly greater than that of a plane&#44 around it left a flash of smoke&#44 I told my mother to see it&#44 she saw it&#44 I called several neighbors and my wife and they saw it too. Suddenly&#44 it formed a cloud&#44 and from it came out 2 bright points that flew at a greater speed. It is worth noting that nothing was heard&#44 despite the lack of electricity. At first&#44 it was a large craft&#44 then it split into 2 smaller ones camouflaged by a cloud. I emphasize that the cloud was not in the sky. In fact&#44 the sky was clear. I tried to take a picture&#44 but despite having a good cell phone&#44 my phone couldn't capture it. I will send them to you; with good brightness&#44 you will be able to see them. Original report in Spanish: No habia electricidad&#44 la noche estrellada&#44 de repente vi una forma ovalada q dejaba un destello&#44 llame a los vecinonñ&#44 todos lo vieron Estoy en venezuela&#44 no habia electricidad&#44 el cielo estaba despejado&#44 yo estoy sentado frente a mi casa junto con mi madre&#44 de repente veo una forma grande&#44 parecia un ovalo o diamante&#44 muy brillante&#44 a una velocidad un poco mayor a la de un avión&#44 al rededor dejaba un destello de humo&#44 le dije a mi madre que lo viera&#44 ella lo vio llame a varios vecinos y a mi esposa y lo vieron tambien. de repente&#44 formo una nuve&#44 y de ella salieron 2 puntos brillantes que volaron a una velocidad mayor. Cabe resaltar que no se escucho nada&#44 a pesar de no haber electricidad&#44 al principio era una nave grande&#44 luego se dividio en 2 mas pequeñas camuflado por una nuve. Resalto que la nuve no estaba en el cielo. De hecho el cielo estaba despejado. Intente tomarle foto&#44 pero a pesar de tener buen celular mi telefono no lo pudo capturar. se las enviare&#44 con buen brillo podran observar. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY";1/27/2025;;;https://nuforc.org/sighting/?id=187260;187260
1/27/2025 18:20;malibu;ca;United States;circle;;Ongoing and been there 1h;Menu Close 2025-01-27 18:20 Local 2025-01-27 18:28 Pacific Ongoing and been there 1h 30 Malibu&#44 CA&#44 USA Circle White Estimated Size: Unsure Land Direction from Viewer: SW 45 Closest Distance: 30 miles Estimated Speed: Unsure Lights on object&#44 Aura or haze around object Bright light in sky visible from ucla. Not a planet or star. 45 degrees above horizon and southwest. Brightest light in sky. Visible currently above Pacific Ocean probably 15 miles out and unsure how high. Probably double the height airplanes fly. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;34.0050000;-118.8091667;https://nuforc.org/sighting/?id=187264;187264
1/27/2025 12:45;bremerton;wa;United States;rectangle;300.0;5 min.;Menu Close 2025-01-27 12:45 Local 2025-01-27 18:24 Pacific 5 min. 3 - Pilot Bremerton&#44 WA&#44 USA In a car. Rectangle Black&#44 dark gray Estimated Size: I thought about small plane size. Land Direction from Viewer: North 21 Closest Distance: 60-90 knots Estimated Speed: 60-90 knots We saw 3 what I thought to were planes from a car. We saw three objects flying in formation over Gorst. I thought they in were airplanes that just departed Bremerton National airport. They were travelling northeast bound. They were very close together&#44 about 1500 to 2000 feet above ground. Their speed was very slow. Estimate 60-80 knots. At first I thought they might be warbirds flying back to Everett. Their speed was too slow to be a jet. My wife was in the passenger seat and could see it better. We saw three at first but one disappeared. We made the turn out of Gorst and thought we would see them above the tree line but they disappeared. Their shape at first looked like an aircraft but they were not either a small prop plane or a jet. They did not have the outline of an aircraft. Weather here has been very clear with blue skies. My wife describes it like a boat. She describes a star shape at each end. They did not have wings. No lights observed. No means of propulsion noted. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;47.5675000;-122.6313889;https://nuforc.org/sighting/?id=187265;187265
1/27/2025 21:30;athens;ga;United States;other;7200.0;Close to 2 hours;Menu Close 2025-01-27 21:30 Local 2025-01-27 19:54 Pacific Close to 2 hours 4 Athens&#44 GA&#44 USA Directly behind the subdivision is an empty plot of land that has not been developed Other Brown / Red Estimated Size: 150 feet wide Land Direction from Viewer: Directly in front of us 45 Closest Distance: About 100 feet away from us Lights on object Noticed bright blue glowing lights behind subdivision tonight and saw a huge upside-down Pyramid rotating glowing red on bottom Several bright blue glowing orbs moving up n down through the trees. We also noticed something hovering between the ground and trees&#44 and that's when we saw it. A huge brownish colored Pyramid that was upside-down with glowing bright red lights on the bottom. It rotated upright and just stayed there hovering. We could not believe our eyes! We just stood there not believing what we were seeing! National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;33.9608333;-83.3780556;https://nuforc.org/sighting/?id=187267;187267
